policy,Group,Code,Question,quant_indicator,qual_answer,english_version,Answer3,Comment on coding
BR_1b,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"Participação em bancas de concursos, de mestrado ou de doutorado; Organização e/ou participação em eventos de pesquisa, ensino ou extensão; Exercício de cargos na administração central e/ou colegiados centrais e/ou de chefia de unidades/setores e/ou de representação","Participation in competitive examinations for master's or doctoral degrees; Organisation and/or participation in research, teaching or extension events; Holding positions in the central administration and/or central collegiate and/or leadership of units/sectors and/or representation",NA,NA
BR_1b,Patents,Patents,patenting discoveries/inventions,1,"propriedade intelectual (patentes, registros);","intellectual property (patents, registrations)",NA,NA
BR_2,Metadata,PolicyDate,When did the policy come into effect?,20140620,NA,NA,NA,NA
BR_2,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",tenure track professor,NA,NA,NA,NA
BR_2,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",This policy specifies the evaluation of tenure track professors.,NA,NA,NA,NA
BR_2,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
BR_2,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
BR_2,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
BR_2,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
BR_2,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,participação e organização de eventos e cursos; divulgação de conhecimento,participation in and organisation of events and courses; dissemination of knowledge,NA,NA
BR_2,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,1,envolvimento em formulação de políticas públicas,involvement in public policy formulation,NA,NA
BR_2,OtherIndicators,Industry,impact type 3) interactions with industry,1,contratos de transferência de tecnologia e licenciamento,technology transfer and licensing agreements,NA,NA
BR_2,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
BR_2,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
BR_2,OtherIndicators,Software,contributions to scientific software,1,desenvolvimento de softwares,software development,NA,NA
BR_2,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
BR_2,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
BR_2,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
BR_2,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",0,NA,NA,NA,NA
BR_2,ServicesToScientificCommunity,PeerReview,peer review and editor activities,1,participação em atividades editoriais e/ ou de arbitragem de produção intelectual e/ou artística,participation in editorial activities and/or arbitration of intellectual and/or artistic production,NA,NA
BR_2,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"assessoria, consultadoria ou participação em órgãos de fomento à pesquisa, ao ensino ou à extensão exercício de cargos na administração central e/ ou participação em órgãos colegiados centrais","advisory, consultancy or participation in bodies that promote research, teaching or extension holding positions in the central administration and/or participating in central collegiate bodies",NA,NA
BR_2,Patents,Patents,patenting discoveries/inventions,1,"propriedade intelectual (patentes, registros)","intellectual property (patents, registrations)",NA,NA
BR_3a,Metadata,PolicyDate,When did the policy come into effect?,20130218,NA,NA,NA,NA
BR_3a,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",lecturer,NA,NA,NA,NA
BR_3a,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).","This policy specifies the evaluation of lecturers, for tenure purposes.",NA,NA,NA,NA
BR_3a,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
BR_3a,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
BR_3a,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
BR_3a,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
BR_3a,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,Coordenação de programa de Rádio e/ou TV,Coordination of Radio and/or TV programme,NA,NA
BR_3a,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA
BR_3a,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA
BR_3a,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
BR_3a,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
BR_3a,OtherIndicators,Software,contributions to scientific software,1,"Produção de software, com registro e/ou divulgação","Software production, with registration and/or disclosure",NA,NA
BR_3a,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",1,"Artigo publicado em periódico A1 da CAPES (10,0 pontos por artigo); 2. Artigo publicado em periódico A2 da CAPES (8,0 pontos por artigo); (...)",Article published in A1 CAPES journal (10.0 points per article); 2. Article published in A2 CAPES journal (8.0 points per article); (...),NA,NA
BR_3a,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
BR_3a,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),1,"Art. 15 O resultado da avaliação de desempenho será considerado satisfatório se o docente alcançar notas-ponto mínimas de 4,0; 8,0 e 4,0, obtidas  nos fatores I, II e III, referentes aos critérios de Capacitação profissional, Desempenho acadêmico e administrativo e Produção científica, tecnológica, técnica e artístico-cultural, respectivamente(...) 
1. Artigo publicado em periódico A1 da CAPES (10,0 pontos por artigo).
2. Artigo publicado em periódico A2 da CAPES (8,0 pontos por artigo).
3. Artigo publicado em periódico B1 da CAPES (6,0 pontos por artigo).
4. Artigo publicado em periódico B2 da CAPES (5,0 pontos por artigo).
5. Artigo publicado em periódico B3 da CAPES (4,0 pontos por artigo).
6. Artigo publicado em periódico B4 da CAPES (3,0 pontos por artigo).
7. Artigo publicado em periódico B5 da CAPES (2,0 pontos por artigo).
8. Artigo ou resenha publicada na área de atuação em periódico científico com ISSN não registrado na CAPES (1,0 ponto por artigo).
9. Resumo simples publicado em anais de eventos científicos, tecnológicos, técnicos ou artístico-culturais (0,25 por resumo, máximo 2,5 pontos).
10. Resumo expandido publicado em anais de eventos científicos, tecnológicos, técnicos ou artístico-culturais (0,5 por resumo, máximo 2,5 pontos).
11. Trabalho completo publicado em anais de eventos científicos, tecnológicos, técnicos ou artístico-culturais (1,5 por trabalho, máximo 4,5 pontos).
12. Conferência ou palestra proferida em eventos científicos, tecnológicos, técnicos ou artístico-
culturais (1,0 por conferência, máximo 4,0 pontos).","Art. 15 The result of the performance evaluation shall be considered satisfactory if the lecturer achieves minimum marks of 4.0; 8.0 and 4.0, obtained in factors I, II and III, referring to the criteria of Professional qualification, Academic and administrative performance and Scientific, technological, technical and artistic-cultural production, respectively(...) 1. Article published in a CAPES A1 journal (10.0 points per article).
2. 2. Article published in a CAPES A2 journal (8.0 points per article).
3. Article published in a CAPES B1 journal (6.0 points per article).
4. Article published in a CAPES B2 journal (5,0 points per article).
5. Article published in a CAPES B3 journal (4,0 points per article).
6. Article published in a CAPES B4 journal (3,0 points per article).
7. Article published in a CAPES B5 journal (2.0 points per article).
8. Article or review published in the area of activity in scientific periodical with ISSN not registered in CAPES (1.0 point per article).
9. Simple summary published in scientific, technological, technical or artistic-cultural events (0.25 per summary, maximum 2.5 points).
10. Expanded abstract published in proceedings of scientific, technological, technical or artistic-cultural events (0.5 per abstract, maximum 2.5 points).
11. Full paper published in proceedings of scientific, technological, technical or artistic-cultural events (1.5 per paper, maximum 4.5 points).
12. Conference or lecture given in scientific, technological, technical or artistic-cultural events cultural events (1.0 per conference, maximum 4.0 points).",NA,NA
BR_3a,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",0,NA,NA,NA,NA
BR_3a,ServicesToScientificCommunity,PeerReview,peer review and editor activities,1,"Revisão técnica especializada de trabalhos científicos, tecnológicos, técnicos ou artístico-culturais","Specialised technical review of scientific, technological, technical or artistic-cultural works",NA,NA
BR_3a,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"Participação em banca examinadora de defesa de tese de doutorado; Participação, como coordenador, em mesa-redonda de eventos científicos, tecnológicos, técnicos ou artístico-culturais; Exercício de cargo ou função acadêmica e/ou administrativa,","Participation in examination board of doctoral thesis defense; Participation, as coordinator, in round tables of scientific, technological, technical or artistic-cultural events; Exercise of academic and/or administrative position or function",NA,NA
BR_3a,Patents,Patents,patenting discoveries/inventions,1,Desenvolvimento ou geração de trabalhos com pedido de registro de patente/ patente registrada,Development or generation of work with patent application/registered patent,NA,NA
BR_3b,Metadata,PolicyDate,When did the policy come into effect?,20140804,NA,NA,NA,NA
BR_3b,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",tenure track professor,NA,NA,NA,NA
BR_3b,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",This policy specifies the evaluation of tenure track professors.,NA,NA,NA,NA
BR_3b,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
BR_3b,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
BR_3b,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
BR_3b,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
BR_3b,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,Coordenação de programa de Rádio e/ou TV,Coordination of Radio and/or TV programme,NA,NA
BR_3b,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA
BR_3b,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA
BR_3b,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
BR_3b,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
BR_3b,OtherIndicators,Software,contributions to scientific software,1,"Produção de software, com registro e/ou divulgação","Software production, with registration and/or disclosure",NA,NA
BR_3b,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",1,"Artigo publicado em periódico A1 da CAPES, Artigo publicado em periódico A2 da CAPES (...)","Article published in A1 CAPES journal, Article published in A2 CAPES journal (...)",NA,NA
BR_3b,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
BR_3b,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),1,"Art. 15 O resultado da avaliação de desempenho será considerado satisfatório se o docente alcançar notas-ponto mínimas de 4,0; 8,0 e 4,0, obtidas nos fatores I, II e III, referentes aos critérios de Capacitação profissional, Desempenho acadêmico e administrativo e Produção científica,  tecnológica, técnica e artístico-cultural, respectivamente. (...) III. Produção Científica, Tecnológica, Técnica e Artístico-Cultural
1. Artigo publicado em periódico A1 da CAPES (10,0 pontos por artigo).
2. Artigo publicado em periódico A2 da CAPES (8,0 pontos por artigo).
3. Artigo publicado em periódico B1 da CAPES (6,0 pontos por artigo).
4. Artigo publicado em periódico B2 da CAPES (5,0 pontos por artigo).
5. Artigo publicado em periódico B3 da CAPES (4,0 pontos por artigo).
6. Artigo publicado em periódico B4 da CAPES (3,0 pontos por artigo).
7. Artigo publicado em periódico B5 da CAPES (2,0 pontos por artigo).
8. Artigo ou resenha publicada na área de atuação em periódico científico com ISSN não registrado na CAPES (1,0 ponto por artigo).
9. Resumo simples publicado em anais de eventos científicos, tecnológicos, técnicos ou artístico-culturais (0,25 por resumo, máximo 2,5 pontos).
10. Resumo expandido publicado em anais de eventos científicos, tecnológicos, técnicos ou artístico-culturais (0,5 por resumo, máximo 2,5 pontos).
11. Trabalho completo publicado em anais de eventos científicos, tecnológicos, técnicos ou artístico-culturais (1,5 por trabalho, máximo 4,5 pontos).
12. Conferência ou palestra proferida em eventos científicos, tecnológicos, técnicos ou artístico-culturais (1,0 por conferência, máximo 4,0 pontos).","Art. 15 The result of the performance evaluation shall be considered satisfactory if the lecturer achieves minimum marks of 4.0; 8.0 and 4.0, obtained in factors I, II and III, referring to the criteria of Professional qualification, Academic and administrative performance and Scientific, technological, technical and artistic-cultural production, respectively.(...) III. Scientific, Technological, Technical and Artistic-Cultural Production
1. Article published in a CAPES A1 journal (10.0 points per article).
2. Article published in A2 CAPES journals (8.0 points per article).
3. Article published in a CAPES B1 journal (6.0 points per article).
4. Article published in a CAPES B2 journal (5,0 points per article).
5. Article published in a CAPES B3 journal (4,0 points per article).
6. Article published in a CAPES B4 journal (3,0 points per article).
7. Article published in a CAPES B5 journal (2.0 points per article).
8. Article or review published in the area of activity in scientific periodical with ISSN not registered in CAPES (1.0 point per article).
9. Simple summary published in annals of scientific, technological, technical or artistic-cultural events cultural events (0.25 per abstract, maximum 2.5 points).
10. Expanded abstract published in scientific, technological, technical or artistic-cultural artistic-cultural events (0,5 per abstract, maximum 2,5 points).
11. Full paper published in proceedings of scientific, technological, technical or artistic-cultural artistic-cultural events (1.5 per work, maximum 4.5 points).
12. Conference or lecture given in scientific, technological, technical or artistic-cultural events cultural events (1.0 per conference, maximum 4.0 points).

Translated with www.DeepL.com/Translator (free version)",NA,NA
BR_3b,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",0,NA,NA,NA,NA
BR_3b,ServicesToScientificCommunity,PeerReview,peer review and editor activities,1,"Revisão técnica especializada de trabalhos científicos, tecnológicos, técnicos ou artístico-culturais","Specialised technical review of scientific, technological, technical or artistic-cultural works",NA,NA
BR_3b,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,Exercício de cargo ou função acadêmica e/ou administrativa; Participação em banca examinadora de defesa de tese de doutorado;,Exercise of academic and/or administrative position or function; Participation in examination board of doctoral thesis defense;,NA,NA
BR_3b,Patents,Patents,patenting discoveries/inventions,1,Desenvolvimento ou geração de trabalhos com pedido de registro de patente/ patente registrada,Development or generation of work with patent application/registered patent,NA,NA
BR_4,Metadata,PolicyDate,When did the policy come into effect?,20171204,NA,NA,NA,NA
BR_4,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",tenure track professor,NA,NA,NA,NA
BR_4,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",This policy specifies the evaluation of tenure track professors.,NA,NA,NA,NA
BR_4,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
BR_4,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
BR_4,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
BR_4,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
BR_4,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,0,NA,NA,NA,NA
BR_4,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA
BR_4,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA
BR_4,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
BR_4,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
BR_4,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
BR_4,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",1,"Artigo técnico-cientifico publicado em periódico, considerando a melhor classificação dentre todas as áreas CAPES obtida no intersticio avaliado","Technical-scientific article published in a journal, considering the best classification among all CAPES areas obtained in the evaluated interstice",NA,NA
BR_4,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
BR_4,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
BR_4,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",0,NA,NA,NA,NA
BR_4,ServicesToScientificCommunity,PeerReview,peer review and editor activities,1,"orientação e supervisão, participação em comissões examinadoras e outras desenvolvidas na instituição, ou em outras instituições pelas quais o docente não tenha recebido remuneração adicional específica","Orientation and supervision, participation in examining committees and others developed in the institution, or in other institutions for which the teacher has not received specific additional remuneration",NA,NA
BR_4,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"gestão, compreendendo atividades de direção, assessoramento, chefia e coordenação na Universidade de Brasília ou nos Ministérios da Educação, da Cultura e da Ciência, Tecnologia e Inovação, ou outro relacionado à área de atuação do docente","Management, including activities of direction, advisory, leadership and coordination at the University of Brasilia or the Ministries of Education, Culture and Science, Technology and Innovation, or other related to the area in which the lecturer works",NA,NA
BR_4,Patents,Patents,patenting discoveries/inventions,1,"Produção tecnológica (patentes, softwares, processos, produtos, cultivares e assemelhados com registro com titularidade ou cotitularidade da UnB","Technological production (patents, software, processes, products, cultivars and the like registered with UnB as owner or co-owner",NA,NA
BR_5,Metadata,PolicyDate,When did the policy come into effect?,20120802,NA,NA,NA,NA
BR_5,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",tenure track professor,NA,NA,NA,NA
BR_5,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",This policy specifies the evaluation of tenure track professors.,NA,NA,NA,NA
BR_5,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
BR_5,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
BR_5,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
BR_5,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
BR_5,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,0,NA,NA,NA,NA
BR_5,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA
BR_5,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA
BR_5,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
BR_5,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
BR_5,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
BR_5,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
BR_5,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
BR_5,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
BR_5,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",0,NA,NA,NA,NA
BR_5,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
BR_5,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"A qualificação profissional a que se refere o caput deste artigo será considerada por meio de participação em cursos, congressos, simpósios, encontros, palestras, e outros correlacionados com a área de atuação do servidor, bem como participação como membro de órgãos colegiados locais, órgãos colegiados centrais e suas respectivas comissões","The professional qualification referred to in the head of this article will be considered by means of participation in courses, congresses, symposiums, meetings, lectures, and others related to the area in which the employee works, as well as participation as a member of local collegiate organs, central collegiate organs and their respective commissions",NA,NA
BR_5,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA
BR_6,Metadata,PolicyDate,When did the policy come into effect?,NA,NA,NA,NA,NA
BR_6,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",tenure track professor,NA,NA,NA,NA
BR_6,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",This policy specifies the evaluation of tenure track professors.,NA,NA,NA,NA
BR_6,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
BR_6,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
BR_6,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
BR_6,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
BR_6,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,Membro de comissão de elaboração de Projeto de Curso de Extensão aprovado pelo Conselho de Ensino da UTFPR,Member of the commission for the preparation of an Extension Course Project approved by the UTFPR's Teaching Council,NA,NA
BR_6,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,1,"Participação, como representante da UTFPR, designado por portaria, em comitês/equipes de trabalho em órgãos como MEC, CAPES, FINEP, CNPq, CREA e outros conselhos profissionais","Participation, as a representative of the UTFPR, designated by ordinance, in committees/working teams in bodies such as MEC, CAPES, FINEP, CNPq, CREA and other professional councils",NA,NA
BR_6,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA
BR_6,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
BR_6,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
BR_6,OtherIndicators,Software,contributions to scientific software,1,Desenvolvimento de software didático,Development of educational software,NA,NA
BR_6,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
BR_6,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
BR_6,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
BR_6,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",0,NA,NA,NA,NA
BR_6,ServicesToScientificCommunity,PeerReview,peer review and editor activities,1,Editor-chefe de revista científica de circulação internacional; Editor associado de revista científica de circulação nacional,Editor-in-Chief of a scientific journal with international circulation; Associate Editor of a scientific journal with national circulation,NA,NA
BR_6,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"Participação em atividades comunitárias, esportivas e voluntárias de caráter social; Co-orientação de aluno de doutorado;","Participation in community, sports and voluntary activities of a social character; Co-supervision of a PhD student;",NA,NA
BR_6,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA
BR_7,Metadata,PolicyDate,When did the policy come into effect?,2017,NA,NA,NA,NA
BR_7,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",tenure track professor,NA,NA,NA,NA
BR_7,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",This policy specifies the evaluation of tenure track professors.,NA,NA,NA,NA
BR_7,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
BR_7,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
BR_7,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
BR_7,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
BR_7,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,0,NA,NA,NA,NA
BR_7,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,1,"Atividades de representação, compreendendo a participação em órgãos colegiados de órgãos da administração pública relacionado à área de atuação do docente,","Representative activities, including participation in collegiate bodies of public administration bodies related to the teacher's area of activity,",NA,NA
BR_7,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA
BR_7,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
BR_7,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
BR_7,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
BR_7,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
BR_7,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
BR_7,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),1,"Art. 5º - Será considerado aprovado na avaliação de desempenho acadêmico para progressão o docente que atingir a pontuação mínima de 70 (setenta) pontos, exigindo-se obrigatoriamente e no mínimo: (...) II - 10 (dez) pontos para Professor Auxiliar, 15 (quinze) pontos para Professor Assistente, 20 (vinte) pontos para Professor Adjunto e 25 (vinte e cinco) pontos para Professor Associado em atividades de pesquisa e/ou de extensão, elencadas no Anexo 2. (...)2.1 Livro didático, técnico-científico ou artístico publicado por editora, até 25 [pontos]
2.2 Organização de livro didático, técnico-científico ou artístico publicado por editora, até 10
2.3 Capítulo de livro didático, técnico-científico ou artístico publicado por editora, até 10
2.4 Tradução ou revisão técnica de tradução de livro didático, técnico-científico ou artístico publicado por editora, até 10
2.5 Tradução ou revisão técnica de tradução de capítulo de livro didático, técnico-científico ou artístico, até 5
2.6 Artigo publicado em periódico científico especializado, indexado, até 15
2.7 Artigo publicado em anais de evento científico-acadêmico, até 10
2.8 Artigo publicado em periódico não indexado, até 4
2.9 Artigo ou documento de divulgação científica, tecnológica ou artística publicado, até 4
2.10 Resumo expandido publicado em anais de evento científico-acadêmico, até 4
2.11 Resumo publicado em anais de evento científico-acadêmico, até 2","Article 5 - A faculty member who achieves a minimum score of 70 (seventy) points will be considered approved in the academic performance evaluation for advancement: (...) II - 10 (ten) points for Assistant Professor, 15 (fifteen) points for Assistant Professor, 20 (twenty) points for Adjunct Professor, and 25 (twenty-five) points for Associate Professor in research and/or extension activities, listed in Appendix 2. (...) 2.1 Didactic, technical-scientific or artistic book published by a publishing house, up to 25 [points].
2.2 Organization of a didactic, technical-scientific or artistic book published by a publishing house, up to 10
2.3 Chapter in a didactic, technical-scientific or artistic book published by a publishing house, up to 10
2.4 Translation or technical review of the translation of a didactic, technical-scientific or artistic book published by a publishing house, up to 10
2.5 Translation or technical review of translation of a chapter in a didactic, scientific-technical or artistic book, up to 5
2.6 Article published in an indexed specialized scientific journal, up to 15
2.7 Article published in scientific-academic event proceedings, up to 10
2.8 Article published in non-indexed periodicals, up to 4
2.9 Article or document on scientific, technological or artistic dissemination published, up to 4
2.10 Expanded abstract published in scientific-academic proceedings, up to 4
2.11 Abstract published in scientific-academic event proceedings up to 2",NA,NA
BR_7,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",0,NA,NA,NA,NA
BR_7,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
BR_7,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,Exercício do cargo ou da função administrativa I e II; Participação em órgão colegiado; Atividades de administração,Administrative position or function I and II; Membership of collegiate body; Administrative activities,NA,NA
BR_7,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA
